timestamp,log_message,log_level,message_length
2024-12-24 00:00:00,2024-12-24 20:35:09 WARNING Rate limit exceeded for IP 172.16.0.1: 1024 requests,WARNING,80
2024-12-24 00:01:00,2024-12-24 04:06:38 WARNING Slow query detected: 245ms for DELETE FROM temp,WARNING,75
2024-12-24 00:02:00,2024-12-24 01:55:12 WARNING Disk usage at 95% on /config/app.conf,WARNING,65
2024-12-24 00:03:00,"2024-12-24 04:57:58 INFO Backup job completed in 245ms, total size: 2.1KB",INFO,73
2024-12-24 00:04:00,2024-12-24 09:22:57 WARNING Disk usage at 95% on /config/app.conf,WARNING,65
2024-12-24 00:05:00,2024-12-24 22:21:22 INFO Service postgres started on port 5432,INFO,62
2024-12-24 00:06:00,2024-12-24 17:37:02 DEBUG Processing 15 items in batch batch_003,DEBUG,64
2024-12-24 00:07:00,"2024-12-24 03:01:49 DEBUG GET /login completed in 245ms, response size: 1.2GB",DEBUG,77
2024-12-24 00:08:00,2024-12-24 23:19:18 WARNING SSL certificate for api.service.com expires in 2 days,WARNING,81
2024-12-24 00:09:00,2024-12-24 14:42:51 ERROR Service redis crashed with exit code 1,ERROR,64
2024-12-24 00:10:00,2024-12-24 22:58:45 INFO Service nginx started on port 8080,INFO,59
2024-12-24 00:11:00,"2024-12-24 05:33:49 INFO Backup job completed in 1.2hr, total size: 64KB",INFO,72
2024-12-24 00:12:00,2024-12-24 15:35:35 INFO User alice.smith accessed /login successfully,INFO,70
2024-12-24 00:13:00,2024-12-24 08:18:53 ERROR Unable to write to /data/users.db: permission denied,ERROR,78
2024-12-24 00:14:00,"2024-12-24 04:06:20 WARNING High memory usage: nginx heap at 92% ({current}/{total}), PID 9876",WARNING,94
2024-12-24 00:15:00,2024-12-24 04:36:32 WARNING Rate limit exceeded for IP 10.0.0.50: 50 requests,WARNING,77
2024-12-24 00:16:00,2024-12-24 13:08:11 WARNING Rate limit exceeded for IP 172.16.0.1: 3 requests,WARNING,77
2024-12-24 00:17:00,2024-12-24 00:19:30 ERROR Service redis crashed with exit code 0,ERROR,64
2024-12-24 00:18:00,2024-12-24 14:16:23 WARNING Rate limit exceeded for IP 198.51.100.1: 1024 requests,WARNING,82
2024-12-24 00:19:00,"2024-12-24 06:16:14 INFO Backup job completed in 245ms, total size: 512MB",INFO,73
2024-12-24 00:20:00,2024-12-24 03:53:03 INFO Successfully archived 1024 files (1.2GB) to /backup/daily/2024-12-24.tar.gz,INFO,100
2024-12-24 00:21:00,2024-12-24 09:31:12 ERROR Database connection failed: timeout after 30s connecting to db.internal:3306,ERROR,102
2024-12-24 00:22:00,"2024-12-24 12:56:42 INFO Backup job completed in 5min, total size: 15MB",INFO,71
2024-12-24 00:23:00,2024-12-24 06:28:13 ERROR Unable to write to /backup/daily/2024-12-24.tar.gz: permission denied,ERROR,95
2024-12-24 00:24:00,2024-12-24 10:08:58 INFO Successfully archived 3 files (512MB) to /var/log/app.log,INFO,82
2024-12-24 00:25:00,2024-12-24 18:14:52 WARNING SSL certificate for company.com expires in 30 days,WARNING,78
